Date,Price,Open,High,Low,Vol.,Change %
28/08/2023,19306.05,19298.35,19366.85,19249.7,248.18B,0.21%
25/08/2023,19265.8,19297.4,19339.55,19229.7,466.52B,-0.62%
24/08/2023,19386.7,19535.15,19584.45,19369,268.26B,-0.29%
23/08/2023,19444,19439.2,19472.05,19366.6,225.21B,0.25%
22/08/2023,19396.45,19417.1,19443.5,19381.3,208.70B,0.01%
21/08/2023,19393.6,19320.65,19425.95,19296.3,262.59B,0.43%
18/08/2023,19310.15,19301.75,19373.8,19253.6,256.14B,-0.28%
17/08/2023,19365.25,19450.55,19461.55,19326.25,268.66B,-0.51%
16/08/2023,19465,19369,19482.75,19317.2,226.63B,0.16%
14/08/2023,19434.55,19383.95,19465.85,19257.9,243.85B,0.03%
11/08/2023,19428.3,19554.25,19557.75,19412.75,235.52B,-0.59%
10/08/2023,19543.1,19605.55,19623.6,19495.4,312.19B,-0.46%
9/08/2023,19632.55,19578.8,19645.5,19467.5,266.50B,0.32%
8/08/2023,19570.85,19627.2,19634.4,19533.1,260.29B,-0.13%
7/08/2023,19597.3,19576.85,19620.45,19524.8,216.59B,0.41%
4/08/2023,19517,19462.8,19538.85,19436.45,280.80B,0.70%
3/08/2023,19381.65,19463.75,19537.65,19296.45,315.69B,-0.74%
2/08/2023,19526.55,19655.4,19678.25,19423.55,290.67B,-1.05%
1/08/2023,19733.55,19784,19795.6,19704.6,298.05B,-0.10%
31/07/2023,19753.8,19666.35,19772.75,19597.6,295.05B,0.55%
28/07/2023,19646.05,19659.75,19695.9,19563.1,258.67B,-0.07%
27/07/2023,19659.9,19850.9,19867.55,19603.55,334.89B,-0.60%
26/07/2023,19778.3,19733.35,19825.6,19716.7,244.75B,0.50%
25/07/2023,19680.6,19729.35,19729.35,19615.95,369.65B,0.04%
24/07/2023,19672.35,19748.45,19782.75,19658.3,265.56B,-0.37%
21/07/2023,19745,19800.45,19887.4,19700,312.46B,-1.17%
20/07/2023,19979.15,19831.7,19991.85,19758.4,274.70B,0.74%
19/07/2023,19833.15,19802.95,19851.7,19727.45,259.66B,0.42%
18/07/2023,19749.25,19787.5,19819.45,19690.2,286.35B,0.19%
17/07/2023,19711.45,19612.15,19731.85,19562.95,268.71B,0.75%
14/07/2023,19564.5,19493.45,19595.35,19433.5,291.17B,0.78%
13/07/2023,19413.75,19495.2,19567,19385.8,310.44B,0.15%
12/07/2023,19384.3,19497.45,19507.7,19361.75,327.94B,-0.28%
11/07/2023,19439.4,19427.1,19515.1,19406.45,251.26B,0.43%
10/07/2023,19355.9,19400.35,19435.85,19327.1,268.25B,0.12%
7/07/2023,19331.8,19422.8,19523.6,19303.6,237.10B,-0.85%
6/07/2023,19497.3,19385.7,19512.2,19373,268.26B,0.51%
5/07/2023,19398.5,19405.95,19421.6,19339.6,224.42B,0.05%
4/07/2023,19389,19406.6,19434.15,19300,226.92B,0.34%
3/07/2023,19322.55,19246.5,19345.1,19234.4,226.05B,0.70%
30/06/2023,19189.05,19076.85,19201.7,19024.6,247.91B,1.14%
28/06/2023,18972.1,18908.15,19011.25,18861.35,398.78B,0.82%
27/06/2023,18817.4,18748.55,18829.25,18714.25,222.46B,0.68%
26/06/2023,18691.2,18682.35,18722.05,18646.7,171.27B,0.14%
23/06/2023,18665.5,18741.85,18756.4,18647.1,210.56B,-0.56%
22/06/2023,18771.25,18853.6,18886.6,18759.5,252.70B,-0.45%
21/06/2023,18856.85,18849.4,18875.9,18794.85,217.48B,0.21%
20/06/2023,18816.7,18752.35,18839.7,18660.65,211.65B,0.33%
19/06/2023,18755.45,18873.3,18881.45,18719.15,219.82B,-0.37%
16/06/2023,18826,18723.3,18864.7,18710.5,272.77B,0.74%
15/06/2023,18688.1,18774.45,18794.1,18669.05,263.00B,-0.36%
14/06/2023,18755.9,18744.6,18769.7,18690,261.35B,0.21%
13/06/2023,18716.15,18631.8,18728.9,18631.8,233.17B,0.62%
12/06/2023,18601.5,18595.05,18633.6,18559.75,179.46B,0.21%
9/06/2023,18563.4,18655.9,18676.65,18555.4,221.76B,-0.38%
8/06/2023,18634.55,18725.35,18777.9,18615.6,286.47B,-0.49%
7/06/2023,18726.4,18665.6,18738.95,18636,260.11B,0.68%
6/06/2023,18599,18600.8,18622.75,18531.6,220.79B,0.03%
5/06/2023,18593.85,18612,18640.15,18582.8,256.11B,0.32%
2/06/2023,18534.1,18550.85,18573.7,18478.4,270.92B,0.25%
1/06/2023,18487.75,18579.4,18580.3,18464.55,265.63B,-0.25%
31/05/2023,18534.4,18594.2,18603.9,18483.85,696.50B,-0.53%
30/05/2023,18633.85,18606.65,18662.45,18575.5,234.39B,0.19%
29/05/2023,18598.65,18619.15,18641.2,18581.25,265.32B,0.54%
26/05/2023,18499.35,18368.35,18508.55,18333.15,198.67B,0.97%
25/05/2023,18321.15,18268.9,18338.1,18202.4,235.92B,0.20%
24/05/2023,18285.4,18294.8,18392.6,18262.95,232.62B,-0.34%
23/05/2023,18348,18362.9,18419.75,18324.2,270.35B,0.18%
22/05/2023,18314.4,18201.1,18335.25,18178.85,262.56B,0.61%
