Date,Price,Open,High,Low,Vol.,Change %,Volume
22/02/2010,642.06,635.23,657.38,635.23,533.26K,1.53%,533260
23/02/2010,644.27,639.45,646.23,639.45,209.98K,0.34%,209980
24/02/2010,644.26,642,649.62,641.25,314.72K,0.00%,314720
25/02/2010,653.11,647.25,656,643.12,421.12K,1.37%,421120
26/02/2010,650.4,650.75,657.5,646,707.14K,-0.41%,707140
2/03/2010,660.1,659,662.25,653.75,442.51K,1.49%,442510
3/03/2010,665.16,661.26,666.98,658.19,341.55K,0.77%,341550
4/03/2010,655.85,663.75,663.75,651.96,244.29K,-1.40%,244290
5/03/2010,658.4,657.5,659.85,653.25,229.69K,0.39%,229690
8/03/2010,664.86,663.25,667.38,659.56,326.66K,0.98%,326660
9/03/2010,670.98,664.58,674.5,662.75,523.66K,0.92%,523660
10/03/2010,664.96,670.98,672.5,662.25,279.74K,-0.90%,279740
11/03/2010,671.09,666.25,672.5,662.5,258.81K,0.92%,258810
12/03/2010,668.15,671,673.5,664.54,173.12K,-0.44%,173120
15/03/2010,675.3,666.5,677.5,658.76,1.08M,1.07%,1.08M
16/03/2010,683.09,677.5,687.17,670.8,348.09K,1.15%,348090
17/03/2010,684.79,683.8,687.88,680.5,435.70K,0.25%,435700
18/03/2010,696.19,687.76,698.04,686.77,409.35K,1.66%,409350
19/03/2010,693.77,696.25,697.5,690.59,264.14K,-0.35%,264140
22/03/2010,689.19,676.75,694.5,676.75,183.81K,-0.66%,183810
23/03/2010,693.84,690.75,695.92,690.75,259.68K,0.67%,259680
25/03/2010,701.4,692.75,705.35,687.5,641.68K,1.09%,641680
26/03/2010,694.4,703.23,703.26,691.3,278.39K,-1.00%,278390
29/03/2010,678.91,694.5,694.5,675.12,640.65K,-2.23%,640650
30/03/2010,660.98,680.5,680.5,660,493.75K,-2.64%,493750
31/03/2010,653.77,661.52,669.02,651.77,843.08K,-1.09%,843080
1/04/2010,667.85,655,669.49,655,597.93K,2.15%,597930
5/04/2010,668.23,673.5,673.5,660.02,371.88K,0.06%,371880
6/04/2010,662.38,670.25,671.23,661.25,184.96K,-0.88%,184960
7/04/2010,661.01,657.5,665,640.1,488.04K,-0.21%,488040
8/04/2010,664.46,657,669.25,657,355.94K,0.52%,355940
9/04/2010,669.71,664.77,674.48,664.77,368.23K,0.79%,368230
12/04/2010,670.81,671.25,673.98,663.09,396.90K,0.16%,396900
13/04/2010,695.59,662.5,697.5,658.75,7.30M,3.69%,7.30M
15/04/2010,700.39,699.75,705.95,690,1.67M,0.69%,1.67M
16/04/2010,696.45,700.75,702.25,690.25,542.79K,-0.56%,542790
19/04/2010,688.05,692.5,692.5,684.84,343.06K,-1.21%,343060
20/04/2010,681.23,692.25,692.25,680.25,315.52K,-0.99%,315520
21/04/2010,679,687.25,687.25,675.75,269.79K,-0.33%,269790
22/04/2010,679.51,679.25,690,674,409.99K,0.08%,409990
23/04/2010,682.02,684,688.12,679.51,207.73K,0.37%,207730
26/04/2010,685.17,686.89,687.6,681.27,172.30K,0.46%,172300
27/04/2010,685.41,682.75,686.25,681.09,291.04K,0.04%,291040
28/04/2010,675.14,680.06,682.65,673.33,174.09K,-1.50%,174090
29/04/2010,676.56,676,680,669.08,269.97K,0.21%,269970
30/04/2010,684.04,679.75,688.5,669.45,480.66K,1.11%,480660
3/05/2010,673.62,674.25,679.95,670,362.21K,-1.52%,362210
4/05/2010,666.74,678,678,663.5,1.19M,-1.02%,1.19M
5/05/2010,671.95,661.5,674.38,652.31,872.07K,0.78%,872070
6/05/2010,665.04,668.76,670.38,661.5,318.77K,-1.03%,318770
7/05/2010,654.91,657.75,661.5,652.27,314.51K,-1.52%,314510
10/05/2010,668.77,657.5,676.92,657.5,190.46K,2.12%,190460
11/05/2010,665.79,667,667.7,660,717.66K,-0.45%,717660
12/05/2010,670.33,653.75,674.21,653.75,278.50K,0.68%,278500
13/05/2010,675.54,680,718.75,670.11,258.07K,0.78%,258070
14/05/2010,664.21,672.5,681.7,657.81,289.98K,-1.68%,289980
17/05/2010,653.92,659,659,645.3,340.79K,-1.55%,340790
18/05/2010,655.75,655.39,658.42,646.5,267.87K,0.28%,267870
19/05/2010,650.77,656.25,662.48,648.75,263.32K,-0.76%,263320
20/05/2010,650.1,654,657.98,647.5,367.58K,-0.10%,367580
21/05/2010,646.54,641.25,650,637.5,288.08K,-0.55%,288080
24/05/2010,649.19,657.5,657.5,646.1,356.40K,0.41%,356400
25/05/2010,633.33,645.5,645.5,627.5,356.74K,-2.44%,356740
26/05/2010,654.67,641.26,657.5,638.8,210.57K,3.37%,210570
27/05/2010,660.86,656,664.5,648.75,451.30K,0.95%,451300
28/05/2010,668.73,667.5,670.75,659.5,330.26K,1.19%,330260
31/05/2010,664.41,667.5,670.92,657.59,200.15K,-0.65%,200150
1/06/2010,656.31,663.75,664.38,654.75,140.08K,-1.22%,140080
2/06/2010,661.05,659,665,657.25,179.69K,0.72%,179690
3/06/2010,674.25,664.98,676.2,664.98,242.90K,2.00%,242900
4/06/2010,682.64,675.25,683.98,670.25,279.88K,1.24%,279880
7/06/2010,668.06,671.25,672.5,663.27,250.18K,-2.14%,250180
8/06/2010,663.75,664.65,672.45,662.36,683.95K,-0.65%,683950
9/06/2010,656.88,662.75,666.17,654.26,383.53K,-1.04%,383530
10/06/2010,661.74,655.25,663.5,654.5,238.11K,0.74%,238110
11/06/2010,658.4,667.5,670,655.09,704.02K,-0.50%,704020
14/06/2010,686.81,662.58,690,662.56,598.02K,4.32%,598020
15/06/2010,684.01,687,689.25,680.79,375.37K,-0.41%,375370
16/06/2010,691.66,693,693.56,685.75,283.85K,1.12%,283850
17/06/2010,691.83,692.49,694.26,683.25,231.14K,0.02%,231140
18/06/2010,695.39,691.25,702.67,688.75,690.68K,0.51%,690680
21/06/2010,700.38,698.52,704,698.38,251.65K,0.72%,251650
22/06/2010,692.02,697.5,697.5,690,195.36K,-1.19%,195360
23/06/2010,699.62,685.25,702,685.25,233.70K,1.10%,233700
24/06/2010,704.48,701.25,706.88,695.92,451.78K,0.69%,451780
25/06/2010,694.44,702.5,702.5,693.12,183.61K,-1.43%,183610
28/06/2010,701.09,698.25,702.25,694.34,119.01K,0.96%,119010
29/06/2010,697.6,700,701,691.83,148.98K,-0.50%,148980
30/06/2010,697.14,694.5,700.75,683.25,383.34K,-0.07%,383340
1/07/2010,691.88,700.25,700.25,687.52,493.63K,-0.75%,493630
2/07/2010,682.25,692.12,692.12,679,801.72K,-1.39%,801720
5/07/2010,685.75,681.25,687.5,681.25,290.67K,0.51%,290670
6/07/2010,696.62,686.25,699.98,686.25,280.52K,1.59%,280520
7/07/2010,695.25,697.25,697.5,691.25,626.64K,-0.20%,626640
8/07/2010,706.44,702.25,711,701.5,352.45K,1.61%,352450
9/07/2010,717.98,708,720.5,708,474.59K,1.63%,474590
12/07/2010,723.74,721.25,727.89,718.25,546.33K,0.80%,546330
13/07/2010,698.83,717.12,717.48,696.25,2.61M,-3.44%,2.61M
14/07/2010,685.58,700.8,702.5,683.84,957.34K,-1.90%,957340
15/07/2010,689.74,687,693.75,683.75,627.92K,0.61%,627920
